#Redshift	SFRD(wo)	SFRD(w)	Err
4	0.030745041649869534	0.030845107003494677	0.005825828206155181
5	0.025923979424774174	0.02676308092605437	0.014847053638386164
6	0.019493646191206228	0.020616887145325523	0.017250221437179223
7	0.0151783966610788	0.01700817323522658	0.015493624582465768
8	0.0092147082028599	0.012587869739158227	0.02745230692596518
