#Redshift	SFRD(wo)	SFRD(w)	err	SFRD(cor)	err
3.8	0.03750734266513953	0.03759005805156561	0.006832414450777952	0.037669270819233124	0.004121925208594806
4.9	0.021836504316887228	0.021967747049728495	0.005913639378164371	0.022548735608909187	0.005333241316797083
5.9	0.014294567546743929	0.014680765383443178	0.007198597573439808	0.014305947757108436	0.0014818602020601236
6.8	0.010918162954877172	0.01164414671670238	0.00857395608850097	0.0109825051379578	0.0015151625124483362
7.9	0.00608735619659841	0.007102539072331767	0.008918626318172529	0.006189971450217099	0.0011898470594340247
