#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err
Koprowski_et_al_2017	0.5	1.5	0.008863205811655245	0.007236537820172669
Koprowski_et_al_2017	1.5	2.5	0.007833980595279035	0.001475984391242373
Koprowski_et_al_2017	2.5	3.5	0.0027589547434197954	0.0010044817721485484
Koprowski_et_al_2017	3.5	4.5	0.0007861909733875588	0.0007180496615569019
