#Redshift	SFRD(wo)	SFRD(w)	err	SFRD(cor)	err
2.1	0.03786077779203118	0.037864378184059466	0.005676268960954324	0.037985015108487445	0.002977578437324094
2.9	0.03818557539991066	0.03822117325343719	0.006777787642952699	0.038115313836614005	0.002006985463126903
3.8	0.03603948487514858	0.03621332290755406	0.005687204989565054	0.036174658352805054	0.0031606479665834183
4.9	0.021167558329941945	0.021329429465656424	0.005018886915863076	0.021184601017756953	0.0010053824664249898
5.9	0.01574402154179989	0.015947530575968722	0.004469880524737472	0.015804184648764173	0.0006014933919658206
6.8	0.009064936118830054	0.009379427558595346	0.004370406762541008	0.009167742005594365	0.0005773676919881362
7.9	0.005033030544563354	0.005801246649535583	0.006502479278676484	0.005323598964124867	0.0011833223680488866
