#Redshift	SFRD(asy)	perr	nerr
3.8	0.03764857058585146	0.007717314650789203	[0.00624001 0.00476999 0.00537838 0.00555827 0.00405694]
4.9	0.021889695990393893	0.007073265193007355	[0.00624001 0.00476999 0.00537838 0.00555827 0.00405694]
5.9	0.014568322927297282	0.009345926486862055	[0.00624001 0.00476999 0.00537838 0.00555827 0.00405694]
6.8	0.011471053579036418	0.012917664622735643	[0.00624001 0.00476999 0.00537838 0.00555827 0.00405694]
7.9	0.006621973307664222	0.014072076427056835	[0.00624001 0.00476999 0.00537838 0.00555827 0.00405694]
