#Name_of_the_paper	Z_up	Z_down	SFRD
Hagen_et_al._2015	0.2	0.4	0.013378626471966621	0.006108652824284039
Hagen_et_al._2015	0.4	0.6	0.015399808837503432	0.017272604774070048
Hagen_et_al._2015	0.6	0.8	0.044188735101887824	0.03534928565618527
Hagen_et_al._2015	0.8	1.2	0.047327577555700356	0.07716702928126998
Moutard_et_al._2019	0.05	0.3	0.006390766396101641	0.0005974113383771165
Moutard_et_al._2019	0.3	0.45	0.008755639411756722	0.0005572090235330019
Moutard_et_al._2019	0.45	0.6	0.00898685236044038	0.0013750512973035064
Moutard_et_al._2019	0.6	0.9	0.012586969858510126	0.0011123040125600868
Moutard_et_al._2019	0.9	1.3	0.022132518784005097	0.003311918974400079
Moutard_et_al._2019	1.3	1.8	0.022107846316842945	0.0024363504969819602
Moutard_et_al._2019	1.8	2.5	0.05511546841847767	0.001641156483564404
Moutard_et_al._2019	2.5	3.5	0.02428992537539561	0.0006659973891243357
