#Redshift	log(SFRD)	log(SFRD)_perr	log(SFRD)_nerr
4	-1.512788167615925	-1.4660132998085171+1.512788167615925	-1.512788167615925+1.5639481792802772
5	-1.5887973278029623	-1.530328743043703+1.5887973278029623	-1.5887973278029623+1.650189341800185
6	-1.724736787368241	-1.644342483324259+1.724736787368241	-1.724736787368241+1.8036693767932415
7	-1.8255950960779639	-1.7261985019872226+1.8255950960779639	-1.8255950960779639+1.9264534047876865
8	-2.0813951543997247	-1.9732282725950943+2.0813951543997247	-2.0813951543997247+2.1939471800612993
