#z    z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
4	4	-20.98	0.10	1.3e-3	0.2e-3	-1.73	0.05	Bouwens_et_al._2012	0.58
5	5	-20.60	0.23	1.4e-3	0.6e-3	-1.79	0.12	Bouwens_et_al._2012	0.44
6	6	-20.37	0.30	1.4e-3	0.85e-3	-1.73	0.20	Bouwens_et_al._2012	0.20
7	7	-20.14	0.26	0.86e-3	0.545e-3	-2.01	0.21	Bouwens_et_al._2012	0.10
8	8	-20.10	0.52	0.59e-3	0.69e-3	-1.91	0.32	Bouwens_et_al._2012	0.00
