#z	 z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
1.9	2.7	-20.70	0.11	2.75e-3	0.54e-3	-1.73	0.07	Reddy_and_Steidel_2009
2.7	3.4	-20.97	0.14	1.71e-3	0.53e-3	-1.73	0.13	Reddy_and_Steidel_2009
