#z    z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
2.1	2.1	-20.28	0.09	4.0e-3	0.453-e	-1.52	0.03	Bouwens_et_al._2021
2.9	2.9	-20.87	0.09	2.1e-3	0.3e-3	-1.61	0.03	Bouwens_et_al._2021
3.8	3.8	-20.93	0.08	1.69e-3	0.21e-3	-1.69	0.03	Bouwens_et_al._2021
4.9	4.9	-21.10	0.11	0.79e-3	0.145e-3	-1.74	0.06	Bouwens_et_al._2021
5.9	5.9	-20.93	0.09	0.51e-3	0.11e-3	-1.93	0.08	Bouwens_et_al._2021
6.8	6.8	-21.15	0.13	0.19e-3	0.07e-3	-2.06	0.11	Bouwens_et_al._2021
7.9	7.9	-20.93	0.28	0.09e-3	0.07e-3	-2.23	0.20	Bouwens_et_al._2021
8.9	8.9	-21.15	0	0.021e-3	0.0115e-3	-2.33	0.19	Bouwens_et_al._2021
