#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err
Takeuchi_et_al_2003	0.03	0.0	0.010155721118828268	0.002583155512287828
Gruppioni_et_al_2013	0.0	0.3	0.025480739721511585	0.01220632091186452
Gruppioni_et_al_2013	0.3	0.45	0.038088736630756244	0.003719225500475694
Gruppioni_et_al_2013	0.45	0.6	0.04810797101064668	0.006469931764356176
Gruppioni_et_al_2013	0.6	0.8	0.07015045496054735	0.01083717749403345
Gruppioni_et_al_2013	0.8	1.0	0.11433199331845026	0.01670602428414013
Gruppioni_et_al_2013	1.0	1.2	0.15388344271874677	0.020073346860814446
Gruppioni_et_al_2013	1.2	1.7	0.14317959729697546	0.016634845333995247
Gruppioni_et_al_2013	1.7	2.0	0.09669822325740067	0.00944510383733066
Gruppioni_et_al_2013	2.0	2.5	0.12271131295792641	0.032287174590073534
Gruppioni_et_al_2013	2.5	3.0	0.15202874137159605	0.07238507311931149
Gruppioni_et_al_2013	3.0	4.2	0.060227246666152374	0.05497699100841061
