#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err
Takeuchi_et_al_2003	0.03	0.0	0.010786184869703695	0.00263906872210597
Gruppioni_et_al_2013	0.0	0.3	0.026224482567656568	0.012426500202732524
Gruppioni_et_al_2013	0.3	0.45	0.03860372452691338	0.003810548275491143
Gruppioni_et_al_2013	0.45	0.6	0.04879566412239899	0.006516336254016544
Gruppioni_et_al_2013	0.6	0.8	0.07086307160631422	0.010930475105380383
Gruppioni_et_al_2013	0.8	1.0	0.11486667394697324	0.016870432054643017
Gruppioni_et_al_2013	1.0	1.2	0.15443964986189293	0.02017372069825467
Gruppioni_et_al_2013	1.2	1.7	0.1438844071713167	0.016506661359873165
Gruppioni_et_al_2013	1.7	2.0	0.0967036753195115	0.009516170843441626
Gruppioni_et_al_2013	2.0	2.5	0.12316617434605619	0.032638324246000314
Gruppioni_et_al_2013	2.5	3.0	0.15245837578313845	0.07227149721247574
Gruppioni_et_al_2013	3.0	4.2	0.05964916443908096	0.0554392194418985
