#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err
Takeuchi_et_al_2003	0.03	0.0	0.010690044723462478	0.0026311290266281657
Gruppioni_et_al_2013	0.0	0.3	0.026121946548746677	0.012337896277235829
Gruppioni_et_al_2013	0.3	0.45	0.03854317312248953	0.0037446300120404763
Gruppioni_et_al_2013	0.45	0.6	0.04862093911634293	0.006572071101661632
Gruppioni_et_al_2013	0.6	0.8	0.07071746538467422	0.010931185591670384
Gruppioni_et_al_2013	0.8	1.0	0.11493553413672752	0.016839988477347058
Gruppioni_et_al_2013	1.0	1.2	0.15429257836652757	0.020326427952471395
Gruppioni_et_al_2013	1.2	1.7	0.14355385945454857	0.016327235391695675
Gruppioni_et_al_2013	1.7	2.0	0.09668809540155196	0.009418576413606484
Gruppioni_et_al_2013	2.0	2.5	0.12311580319724817	0.03220258583537329
Gruppioni_et_al_2013	2.5	3.0	0.15269242103481798	0.07300850932396277
Gruppioni_et_al_2013	3.0	4.2	0.06025142003560213	0.05532572072505774
