#Name_of_the_paper	Z_down	Z_up	SFRD	SFRD_err
Takeuchi_et_al_2003	0.03	0.0	0.010770224596338166	0.002632685700160855
Gruppioni_et_al_2013	0.0	0.3	0.02608334682832983	0.012526490425964282
Gruppioni_et_al_2013	0.3	0.45	0.038731106008205084	0.0037909164236126264
Gruppioni_et_al_2013	0.45	0.6	0.04879508514672633	0.006618979493553075
Gruppioni_et_al_2013	0.6	0.8	0.07082089798110106	0.011029782404279681
Gruppioni_et_al_2013	0.8	1.0	0.11481903406175235	0.016904194185454465
Gruppioni_et_al_2013	1.0	1.2	0.15433859674076036	0.02022455294141819
Gruppioni_et_al_2013	1.2	1.7	0.14362073682608265	0.01675232484347074
Gruppioni_et_al_2013	1.7	2.0	0.09659705704369732	0.009494745528781778
Gruppioni_et_al_2013	2.0	2.5	0.12310274153693213	0.03278546319108923
Gruppioni_et_al_2013	2.5	3.0	0.1525906388908943	0.07121287980922965
Gruppioni_et_al_2013	3.0	4.2	0.05952190269710869	0.054746095183227914
Gruppioni_et_al_2020	0.5	1.5	0.08691450212324175	0.04505
Gruppioni_et_al_2020	1.5	2.5	0.09735524655972819	0.0688
Gruppioni_et_al_2020	2.5	3.5	0.1623936353957809	0.05115
Gruppioni_et_al_2020	3.5	4.5	0.07996591347602337	0.0309
Gruppioni_et_al_2020	4.5	6.0	0.06468214761650389	0.06305
Koprowski_et_al_2017	0.5	1.5	0.00884116610472786	0.0070687150534005224
Koprowski_et_al_2017	1.5	2.5	0.007818722417877427	0.0014581976069179534
Koprowski_et_al_2017	2.5	3.5	0.002756623743716884	0.0009916737414423448
Koprowski_et_al_2017	3.5	4.5	0.0007849716853667816	0.0007126051330048931
#Lim_et_al_2020	0.5	1.3	0.522170607828311	31.758235239464106
#Lim_et_al_2020	1.3	2.5	14.2897084737617	741.8621976638948
Wang_et_al_2019	0.0	0.3	0.025541381809039136	0.005462550101013264
Wang_et_al_2019	0.3	0.45	0.04756232490438155	0.009486357197232231
Wang_et_al_2019	0.45	0.6	0.05987544346391052	0.014010921119086306
Wang_et_al_2019	0.6	0.8	0.09269259129075687	0.01424191833709021
Wang_et_al_2019	0.8	1.0	0.14690785692830086	0.03382770231679233
Wang_et_al_2019	1.0	1.2	0.16069890593942013	0.03181176523013107
Wang_et_al_2019	1.2	1.7	0.18001783723099965	0.04316422807039755
Wang_et_al_2019	1.7	2.0	0.1212237727301243	0.04680823968288639
Wang_et_al_2019	2.0	2.5	0.11784047224110879	0.03681657057441767
Wang_et_al_2019	2.5	3.0	0.11737405152909244	0.0481002376534202
Wang_et_al_2019	3.0	4.2	0.06477977980878243	0.012642444338258119
Wang_et_al_2019	4.2	5.0	0.04113569256624017	0.01796560244211498
Wang_et_al_2019	5.0	6.0	0.02997039160892574	0.17934691163269068
