#z	 z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
0.05	0.3	-18.269	0.054	4.85e-3	0.35e-3	-1.405	0.019	Moutard_et_al._2019
0.3	0.45	-18.572	0.038	5.22e-3	0.25e-3	-1.369	0.017	Moutard_et_al._2019
0.45	0.6	-18.797	0.073	4.13e-3	0.50e-3	-1.408	0.053	Moutard_et_al._2019
0.6	0.9	-19.113	0.041	4.40e-3	0.30e-3	-1.402	0.038	Moutard_et_al._2019
0.9	1.3	-19.554	0.065	4.97e-3	0.57e-3	-1.432	0.068	Moutard_et_al._2019
1.3	1.8	-20.016	0.074	3.20e-3	0.38e-3	-1.446	0.074	Moutard_et_al._2019
1.8	2.5	-20.261	0.042	2.82e-3	0.11e-3	1.43	0	Moutard_et_al._2019
2.5	3.5	-20.841	0.046	1.69e-3	0.10e-3	-1.43	0	Moutard_et_al._2019
