#z	 z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
2.5	3.5	-21.62	0.11	0.51e-3	0.07e-3	-1.53	0.15	Viironen_et_al._2018
3.5	4.5	-21.67	0.10	0.54e-3	0.08e-3	-1.65	0.17	Viironen_et_al._2018
