#z	 z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
1.7	1.7	-19.61	0.07	0.00681	0.00081	-1.33	0.03	Parsa_et_al._2016
1.9	1.9	-19.68	0.05	0.00702	0.00066	-1.32	0.03	Parsa_et_al._2016
2.25	2.25	-19.71	0.07	0.00759	0.00088	-1.26	0.04	Parsa_et_al._2016
2.8	2.8	-20.20	0.07	0.00532	0.00060	-1.31	0.04	Parsa_et_al._2016
3.8	3.8	-20.71	0.10	0.00206	0.00033	-1.43	0.04	Parsa_et_al._2016
