#z	 z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
4	4	-20.63	0.035	3.04e-3	0.165e-3	-1.57	0.025	Ono_et_al._2017
5	5	-20.96	0.055	1.06e-3	0.12e-3	-1.60	0.055	Ono_et_al._2017
6	6	-20.91	0.065	0.54e-3	0.09e-3	-1.87	0.065	Ono_et_al._2017
7	7	-20.77	0.155	0.438e-3	0.1285e-3	-1.97	0.06	Ono_et_al._2017
