#z	 z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
5	5	-20.98	0.03	0.00082	0.00004	-1.74	0.02	Pello_et_al._2018
6	6	-20.58	0.22	0.00075	0.00025	-1.87	0	Pello_et_al._2018
