#z	 z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
0.2	0.4	-19.24	0.23	4.45e-3	1.62e-3	-1.19	0.15	Hagen_et_al._2015
0.4	0.6	-20.14	0.39	1.18e-3	0.88e-3	-1.55	0.21	Hagen_et_al._2015
0.6	0.8	-19.95	0.15	4.38e-3	2.41e-3	-1.60	0.26	Hagen_et_al._2015
0.8	1.2	-20.50	0.21	1.87e-3	1.34e-3	-1.63	0.45	Hagen_et_al._2015
