#z	 z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
1.0	1.6	-19.74	0.18	2.32e-3	0.49e-3	-1.56	0.04	Alavi_et_al._2016
1.6	2.2	-20.41	0.20	1.50e-3	0.37e-3	-1.72	0.04	Alavi_et_al._2016
2.2	3.0	-20.71	0.11	0.55e-3	0.14e-3	-1.94	0.06	Alavi_et_al._2016
