#z	 z_err	 M* 	 M*_err	 Phi* 	 Phi*_err	 Alpha	 Alpha_err	 NameOfPaper
6	6	-20.825	0.0455	0.0002261561135988308	1.8252600995640177e-05	-2.10	0.03	Livermore_et_al._2017
7	7	-20.802	0.0525	0.00021345339936107834	2.1920146510033537e-05	-2.06	0.04	Livermore_et_al._2017
8	8	-20.723	0.1615	0.0001784487734556312	5.4607107363774346e-05	-2.01	0.08	Livermore_et_al._2017
